Subj ROI1 ROI2 Y
SBJ10 L_Amygdala L_LatOccipital -0.237461584094
SBJ11 L_Amygdala L_LatOccipital 0.463353049373
SBJ12 L_Amygdala L_LatOccipital 0.139945745917
SBJ13 L_Amygdala L_LatOccipital 0.255264078883
SBJ14 L_Amygdala L_LatOccipital 0.249239028749
SBJ15 L_Amygdala L_LatOccipital 0.144881940347
SBJ16 L_Amygdala L_LatOccipital -0.148772318463
SBJ17 L_Amygdala L_LatOccipital 0.364007516409
SBJ01 L_Bank_STS L_LatOccipital 0.143808131277
SBJ02 L_Bank_STS L_LatOccipital 0.127488207959
SBJ03 L_Bank_STS L_LatOccipital 0.247583788336
SBJ04 L_Bank_STS L_LatOccipital 0.042803127447
SBJ05 L_Bank_STS L_LatOccipital 0.053496505188
SBJ06 L_Bank_STS L_LatOccipital 0.316790120957
SBJ07 L_Bank_STS L_LatOccipital 0.093140120102
SBJ09 L_Bank_STS L_LatOccipital 0.342777248865
SBJ10 L_Bank_STS L_LatOccipital -0.183826168395
SBJ11 L_Bank_STS L_LatOccipital 0.595617129457
SBJ12 L_Bank_STS L_LatOccipital 0.207668277229
SBJ13 L_Bank_STS L_LatOccipital 0.074114125747
SBJ14 L_Bank_STS L_LatOccipital 0.334061430525
SBJ15 L_Bank_STS L_LatOccipital 0.02107387783
SBJ16 L_Bank_STS L_LatOccipital -0.540039753407
SBJ17 L_Bank_STS L_LatOccipital 0.193021914867
SBJ01 L_Fusiform L_LatOccipital 0.180224010433
SBJ02 L_Fusiform L_LatOccipital 0.307387998386
SBJ03 L_Fusiform L_LatOccipital -0.214374396186
SBJ04 L_Fusiform L_LatOccipital 0.268627676159
SBJ05 L_Fusiform L_LatOccipital -0.0386325699309999
SBJ06 L_Fusiform L_LatOccipital 0.147491856236
SBJ07 L_Fusiform L_LatOccipital 0.579994594218
SBJ09 L_Fusiform L_LatOccipital 0.292771861618
SBJ10 L_Fusiform L_LatOccipital 0.151003187652
SBJ11 L_Fusiform L_LatOccipital 0.380480041084
SBJ12 L_Fusiform L_LatOccipital -0.038486255132
SBJ13 L_Fusiform L_LatOccipital 0.30205666187
SBJ14 L_Fusiform L_LatOccipital 0.535607542222
SBJ15 L_Fusiform L_LatOccipital 0.176036718242
SBJ16 L_Fusiform L_LatOccipital 0.12823810293
SBJ17 L_Fusiform L_LatOccipital 0.217430000576
SBJ01 R_Amygdala L_LatOccipital -0.061625488485
SBJ02 R_Amygdala L_LatOccipital 0.154804283315
SBJ03 R_Amygdala L_LatOccipital -0.205557356995
SBJ04 R_Amygdala L_LatOccipital 0.398264605985
SBJ05 R_Amygdala L_LatOccipital 0.263763745335
SBJ06 R_Amygdala L_LatOccipital -0.040976274688
SBJ07 R_Amygdala L_LatOccipital -0.076101100502
SBJ09 R_Amygdala L_LatOccipital -0.021714022956
SBJ10 R_Amygdala L_LatOccipital 0.222000978514
SBJ11 R_Amygdala L_LatOccipital 0.47604397811
SBJ12 R_Amygdala L_LatOccipital -0.068607053911
SBJ13 R_Amygdala L_LatOccipital 0.173452860953
SBJ14 R_Amygdala L_LatOccipital 0.299514227802
SBJ15 R_Amygdala L_LatOccipital 0.218372445156
SBJ16 R_Amygdala L_LatOccipital -0.080673763669
SBJ17 R_Amygdala L_LatOccipital 0.587395469408
SBJ01 R_Fusiform L_LatOccipital 0.358571028597
SBJ02 R_Fusiform L_LatOccipital -0.0931930864699999
SBJ03 R_Fusiform L_LatOccipital -0.204601878095
SBJ04 R_Fusiform L_LatOccipital 0.058670248684
SBJ05 R_Fusiform L_LatOccipital -0.042768318959
SBJ06 R_Fusiform L_LatOccipital 0.33168724383
SBJ07 R_Fusiform L_LatOccipital 0.561405505561
SBJ09 R_Fusiform L_LatOccipital 0.065421961629
SBJ10 R_Fusiform L_LatOccipital 0.264170850617
SBJ11 R_Fusiform L_LatOccipital 0.374971575379
SBJ12 R_Fusiform L_LatOccipital 0.14272921835
SBJ13 R_Fusiform L_LatOccipital 0.473027595384
SBJ14 R_Fusiform L_LatOccipital 0.633694492319
SBJ15 R_Fusiform L_LatOccipital 0.161230040755
SBJ16 R_Fusiform L_LatOccipital 0.00612723209900001
SBJ17 R_Fusiform L_LatOccipital 0.327732177696
SBJ01 R_LatOccipital L_LatOccipital 0.128479151968
SBJ02 R_LatOccipital L_LatOccipital -0.205821035387
SBJ03 R_LatOccipital L_LatOccipital 0.225428843884
SBJ04 R_LatOccipital L_LatOccipital 0.28960779422
SBJ05 R_LatOccipital L_LatOccipital 0.059112030851
SBJ06 R_LatOccipital L_LatOccipital 0.302062658799
SBJ07 R_LatOccipital L_LatOccipital -0.052788145504
SBJ09 R_LatOccipital L_LatOccipital -0.206449514902
SBJ10 R_LatOccipital L_LatOccipital -0.824776458954
SBJ11 R_LatOccipital L_LatOccipital 0.342582164992
SBJ12 R_LatOccipital L_LatOccipital 0.412778266861
SBJ13 R_LatOccipital L_LatOccipital -0.293844042316
SBJ14 R_LatOccipital L_LatOccipital -0.0299177215069999
SBJ15 R_LatOccipital L_LatOccipital 0.099253352152
SBJ16 R_LatOccipital L_LatOccipital 0.0729938500960001
SBJ17 R_LatOccipital L_LatOccipital -0.016893911855
SBJ01 rpSTS_gray9 L_LatOccipital 0.217015575986
SBJ02 rpSTS_gray9 L_LatOccipital 0.226263818691
SBJ03 rpSTS_gray9 L_LatOccipital 0.290831872159
SBJ04 rpSTS_gray9 L_LatOccipital -0.206548913142
SBJ05 rpSTS_gray9 L_LatOccipital 0.014480265368
SBJ06 rpSTS_gray9 L_LatOccipital -0.110003995988
SBJ07 rpSTS_gray9 L_LatOccipital 0.111554900191
SBJ09 rpSTS_gray9 L_LatOccipital 0.460088730023
SBJ10 rpSTS_gray9 L_LatOccipital -0.187441209462
SBJ11 rpSTS_gray9 L_LatOccipital 0.674638027465
SBJ12 rpSTS_gray9 L_LatOccipital 0.471191142243
SBJ13 rpSTS_gray9 L_LatOccipital 0.117064611761
SBJ14 rpSTS_gray9 L_LatOccipital 0.279279074316
SBJ15 rpSTS_gray9 L_LatOccipital 0.006966096717
SBJ16 rpSTS_gray9 L_LatOccipital -0.380963954405
SBJ17 rpSTS_gray9 L_LatOccipital 0.23128595084
SBJ01 L_Amygdala lhKnobDrawn_gray 0.169636952276
SBJ02 L_Amygdala lhKnobDrawn_gray 0.000915531658000068
SBJ03 L_Amygdala lhKnobDrawn_gray -0.087834791884
SBJ04 L_Amygdala lhKnobDrawn_gray -0.117006553753
SBJ05 L_Amygdala lhKnobDrawn_gray 0.226653552145
SBJ06 L_Amygdala lhKnobDrawn_gray -0.205230011982
SBJ07 L_Amygdala lhKnobDrawn_gray 0.246942364668
SBJ09 L_Amygdala lhKnobDrawn_gray -0.102622483179
SBJ10 L_Amygdala lhKnobDrawn_gray -0.090123433898
SBJ11 L_Amygdala lhKnobDrawn_gray 0.340943081077
SBJ12 L_Amygdala lhKnobDrawn_gray 0.240516872911
SBJ13 L_Amygdala lhKnobDrawn_gray 0.149286470482
SBJ14 L_Amygdala lhKnobDrawn_gray 0.111357596819
SBJ15 L_Amygdala lhKnobDrawn_gray -0.148251642529
SBJ16 L_Amygdala lhKnobDrawn_gray -0.112051321985
SBJ17 L_Amygdala lhKnobDrawn_gray -0.015252001554
SBJ01 L_Bank_STS lhKnobDrawn_gray -0.034120988748
SBJ02 L_Bank_STS lhKnobDrawn_gray 0.094099043287
SBJ03 L_Bank_STS lhKnobDrawn_gray 0.242304323173
SBJ04 L_Bank_STS lhKnobDrawn_gray -0.038727801426
SBJ05 L_Bank_STS lhKnobDrawn_gray -0.029335799544
SBJ06 L_Bank_STS lhKnobDrawn_gray -0.110881935335
SBJ07 L_Bank_STS lhKnobDrawn_gray -0.092407355768
SBJ09 L_Bank_STS lhKnobDrawn_gray -0.282154463311
SBJ10 L_Bank_STS lhKnobDrawn_gray 0.134230767156
SBJ11 L_Bank_STS lhKnobDrawn_gray 0.430169328449
SBJ12 L_Bank_STS lhKnobDrawn_gray 0.231656031469
SBJ13 L_Bank_STS lhKnobDrawn_gray 0.178717923008
SBJ14 L_Bank_STS lhKnobDrawn_gray -0.17024071425
SBJ15 L_Bank_STS lhKnobDrawn_gray -0.09819485176
SBJ16 L_Bank_STS lhKnobDrawn_gray -0.254732951793
SBJ17 L_Bank_STS lhKnobDrawn_gray -0.04735166232
SBJ01 L_Fusiform lhKnobDrawn_gray 0.479825983409
SBJ02 L_Fusiform lhKnobDrawn_gray 0.28182497474
SBJ03 L_Fusiform lhKnobDrawn_gray -0.193896143585
SBJ04 L_Fusiform lhKnobDrawn_gray -0.124436916391
SBJ05 L_Fusiform lhKnobDrawn_gray 0.280920419597
SBJ06 L_Fusiform lhKnobDrawn_gray 0.052006044782
SBJ07 L_Fusiform lhKnobDrawn_gray 0.165011331651
SBJ09 L_Fusiform lhKnobDrawn_gray -0.043652188457
SBJ10 L_Fusiform lhKnobDrawn_gray 0.119741651959
SBJ11 L_Fusiform lhKnobDrawn_gray 0.410366864523
SBJ12 L_Fusiform lhKnobDrawn_gray 0.192508158919
SBJ13 L_Fusiform lhKnobDrawn_gray 0.414594910089
SBJ14 L_Fusiform lhKnobDrawn_gray 0.096758378602
SBJ15 L_Fusiform lhKnobDrawn_gray -0.083386137545
SBJ16 L_Fusiform lhKnobDrawn_gray -0.066729649533
SBJ17 L_Fusiform lhKnobDrawn_gray 0.05934931771
SBJ01 L_LatOccipital lhKnobDrawn_gray 0.088210585246
SBJ02 L_LatOccipital lhKnobDrawn_gray 0.263571543395
SBJ03 L_LatOccipital lhKnobDrawn_gray -0.164260907178
SBJ04 L_LatOccipital lhKnobDrawn_gray 0.327061039633
SBJ05 L_LatOccipital lhKnobDrawn_gray 0.076855876107
SBJ06 L_LatOccipital lhKnobDrawn_gray 0.39109348101
SBJ07 L_LatOccipital lhKnobDrawn_gray 0.609561643323
SBJ09 L_LatOccipital lhKnobDrawn_gray -0.194307122685
SBJ10 L_LatOccipital lhKnobDrawn_gray -0.071485897082
SBJ11 L_LatOccipital lhKnobDrawn_gray 0.425541017645
SBJ12 L_LatOccipital lhKnobDrawn_gray 0.045090838216
SBJ13 L_LatOccipital lhKnobDrawn_gray 0.198809695138
